아파트코드,아파트명,평형(공용),전용,방수,화장실수,드레스룸,다용도실,테라스,평면도 주소
A10026734,송파레미니스아파트,123,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20170421_81/hscp_img_1492751901949c3tWS_JPEG/photoinfra_1492751901392.jpg?type=m562
A10026734,송파레미니스아파트,124,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20170421_203/hscp_img_1492751870861zX2gh_JPEG/photoinfra_1492751870637.jpg?type=m562
A10026362,송파호반베르디움더퍼스트,130,101,4,2,1,0,,https://landthumb-phinf.pstatic.net/20220621_53/land_naver_16557751624209hfA3_JPEG/1148181202206211032422238360621103242383000000.jpg?type=m562
A10025657,송파 두산위브아파트,81,59,3,2,1,0,,https://landthumb-phinf.pstatic.net/20170217_174/hscp_img_1487296970581Ei92X_JPEG/photoinfra_1487296970320.jpg?type=m562
A10025657,송파 두산위브아파트,113,84,4,2,1,0,,https://landthumb-phinf.pstatic.net/20170217_201/hscp_img_14872969861073pNvm_JPEG/photoinfra_1487296985878.jpg?type=m562
A10025850,헬리오시티아파트,84,59,3,2,0,0,,https://landthumb-phinf.pstatic.net/20160112_177/hscp_img_1452577481499NxrQE_JPEG/photoinfra_1452577481229.jpg?type=m562
A10025850,헬리오시티아파트,107,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20160112_29/hscp_img_1452577520294c0S0e_JPEG/photoinfra_1452577520007.jpg?type=m562
A10025850,헬리오시티아파트,109,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20160112_211/hscp_img_1452577690079C4Xmp_JPEG/photoinfra_1452577689801.jpg?type=m562
A10025851,헬리오시티아파트,108,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20160112_188/hscp_img_145257771858257an9_JPEG/photoinfra_1452577718366.jpg?type=m562
A10025851,헬리오시티아파트,126,99,4,2,1,0,,https://landthumb-phinf.pstatic.net/20180803_32/hscp_img_15332614785025T9A8_JPEG/photoinfra_1533261478261.jpg?type=m562
A10025851,헬리오시티아파트,140,110,4,2,1,0,,https://landthumb-phinf.pstatic.net/20160112_240/hscp_img_14525778543876cAIA_JPEG/photoinfra_1452577854111.jpg?type=m562
A10025851,헬리오시티아파트,163,130,4,2,1,0,,https://landthumb-phinf.pstatic.net/20160112_143/hscp_img_1452577893092UTBB9_JPEG/photoinfra_1452577892779.jpg?type=m562
A10025851,헬리오시티아파트,193,150,4,2,1,0,1,https://landthumb-phinf.pstatic.net/20180803_49/hscp_img_1533261565161ums6i_JPEG/photoinfra_1533261564950.jpg?type=m562
A10025851,헬리오시티아파트,194,150,4,2,1,0,1,https://landthumb-phinf.pstatic.net/20180803_80/hscp_img_1533261575846scbU7_JPEG/photoinfra_1533261575504.jpg?type=m562
A13895501,송파성원상떼빌,124,99,3,2,0,0,,https://landthumb-phinf.pstatic.net/20120124_154/land_system_13273804996317l7lJ_JPEG/117_12948_2_125A_1274930836151.jpg?type=m562
A13895502,송파성원상떼빌,129,103,3,2,1,1,,https://landthumb-phinf.pstatic.net/20120328_128/hscp_img_1332924784832WCIEn_JPEG/GW70765_1332924783786.jpg?type=m562
A13895503,송파성원상떼빌,131,104,3,2,1,0,,https://landthumb-phinf.pstatic.net/20120328_196/hscp_img_1332924792734nz738_JPEG/GW70765_1332924791438.jpg?type=m562
A13895503,송파성원상떼빌,140,112,4,2,1,1,,https://landthumb-phinf.pstatic.net/20120328_149/hscp_img_133292481688879UaR_JPEG/GW70765_1332924815818.jpg?type=m562
A13895503,송파성원상떼빌,151,121,4,2,1,1,,https://landthumb-phinf.pstatic.net/20120328_57/hscp_img_1332924841204cTDrk_JPEG/GW70765_1332924840133.jpg?type=m562
A13895503,송파성원상떼빌,181,145,3,2,1,1,,https://landthumb-phinf.pstatic.net/20120328_268/hscp_img_1332924886106sggMG_JPEG/GW70765_1332924885012.jpg?type=m562
A13880806,가락쌍용1차,81,59,3,2,0,0,,https://landthumb-phinf.pstatic.net/20120124_118/land_system_1327401393661W2XbT_JPEG/117_598_1_95_GA1_1283490762050.jpg?type=m562
A13552002,강남데시앙포레,81,59,3,2,0,0,,https://landthumb-phinf.pstatic.net/20140213_262/hscp_img_1392278429547EoieH_JPEG/photoinfra_1392278429287.jpg?type=m562
A13552002,강남데시앙포레,114,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20140213_48/hscp_img_13922786179818MEWt_JPEG/photoinfra_1392278617681.jpg?type=m562
A13552002,강남데시앙포레,156,114,4,2,1,0,,https://landthumb-phinf.pstatic.net/20200908_15/hscp_img_15995565411322Uykc_JPEG/photoinfra_1599556540705.jpg?type=m562
A10024564,개포래미안포레스트,74,49,2,1,1,0,,https://landthumb-phinf.pstatic.net/20200623_250/hscp_img_1592880105116H8Hhs_JPEG/photoinfra_1592880104923.jpg?type=m562
A10024564,개포래미안포레스트,86,59,3,2,0,0,,https://landthumb-phinf.pstatic.net/20200623_89/hscp_img_15928802268146K4Iz_JPEG/photoinfra_1592880226527.jpg?type=m562
A10024564,개포래미안포레스트,115,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20200623_120/hscp_img_15928803241930EVFd_JPEG/photoinfra_1592880323829.jpg?type=m562
A10024564,개포래미안포레스트,129,96,4,2,1,0,,https://landthumb-phinf.pstatic.net/20180117_76/hscp_img_1516173724249ol7bH_JPEG/photoinfra_1516173724038.jpg?type=m562
A10024564,개포래미안포레스트,174,136,4,2,1,0,,https://landthumb-phinf.pstatic.net/20180117_15/hscp_img_1516173434889rjLpJ_JPEG/photoinfra_1516173434669.jpg?type=m562
A10027403,마곡엠밸리12단지,85,59,3,2,0,0,,https://landthumb-phinf.pstatic.net/20161117_57/hscp_img_1479370886535UHmMV_JPEG/photoinfra_1479370886246.jpg?type=m562
A10027403,마곡엠밸리12단지,119,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20161117_170/hscp_img_1479370932622419WT_JPEG/photoinfra_1479370932394.jpg?type=m562
A13307003,서울숲더샵,119,84,3,2,1,0,,https://landthumb-phinf.pstatic.net/20110728_272/hscp_img_1311834168566OtvSD_JPEG/GW70262_1311834167111.jpg?type=m562
A13307003,서울숲더샵,130,92,3,2,1,0,,https://landthumb-phinf.pstatic.net/20110728_90/hscp_img_1311834223204A7nTH_JPEG/GW70262_1311834221930.jpg?type=m562
A13307003,서울숲더샵,161,114,3,2,1,1,,https://landthumb-phinf.pstatic.net/20110728_33/hscp_img_1311834277258fr9s7_JPEG/GW70262_1311834275928.jpg?type=m562
A13307003,서울숲더샵,210,150,4,2,1,0,,https://landthumb-phinf.pstatic.net/20110728_205/hscp_img_1311834292376MJdx1_JPEG/GW70262_1311834290725.jpg?type=m562
